citekey,title,authors,year,venue,doi,technique,phase,individually_discussed
devsecops-security-ce2024,Enhancing DevSecOps Practice with Large Language Models and Security Chaos Engineering,"Bedoya, Martin and Palacios, Sara and L\'opez, D. D. and Laverde, Estefania and Nespoli, P.",2024,International Journal of Information Security,10.1007/s10207-024-00909-w,NLP/LLM,Design,False
enhancing-analysis-sw-failures-dl2021,Enhancing the Analysis of Software Failures in Cloud Computing Systems with Deep Learning,"Cotroneo, Domenico and De Simone, Luigi and Liguori, Pietro and Natella, Roberto",2021,Journal of Systems and Software,10.1016/j.jss.2021.111043,Anomaly Detection,Analysis,False
failure-propagation-cloud2019,Enhancing Failure Propagation Analysis in Cloud Computing Systems,"Cotroneo, Domenico and De Simone, Luigi and Liguori, Pietro and Natella, Roberto and Bidokhti, Nematollah",2019,2019 IEEE International Symposium on Software Reliability Engineering (ISSRE),10.1109/ISSRE.2019.00023,Anomaly Detection,Analysis,False
fault-injection-analytics2020,Fault Injection Analytics: A Novel Approach to Discover Failure Modes in Cloud-Computing Systems,"Cotroneo, Domenico and De Simone, Luigi and Liguori, Pietro and Natella, Roberto",2020,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2020.3025289,Anomaly Detection,Analysis,False
fuzzing-microservice-llm2026,Fuzzing Microservice Resilience under Uncertainty with LLM-Guided Scenario Generation,"Xue, Fei and Ying, Ting and Hu, Peifeng and Wang, Lixing and Qing, Ziyu and Ding, Tian",2026,2026 8th International Conference on Electronic Engineering and Informatics (EEI),10.1109/EEI70303.2026.11640489,NLP/LLM,Design,False
human-ai-ce2020,Human-AI Partnerships for Chaos Engineering,"Barberis Canonico, Lorenzo and Vakeel, Vimal and Dominic, James and Rodeghero, Paige and McNeese, Nathan",2020,Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops (ICSEW '20),10.1145/3387940.3391493,General,General/position,False
ibm-fi-aiops2022,A Fault Injection Platform for Learning AIOps Models,"Bagehorn, Frank and Rios, Jesus and Jha, Saurabh and Filepp, Robert and Shwartz, Larisa and Abe, Naoki and Yang, Xi",2022,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1145/3551349.3559503,Anomaly Detection,Analysis,True
ikeuchidrl2020,A Framework for Automatic Failure Recovery in ICT Systems by Deep Reinforcement Learning,"Ikeuchi, Hiroki and Ge, Jiawen and Matsuo, Yoichi and Watanabe, Keishiro",2020,2020 IEEE 40th International Conference on Distributed Computing Systems (ICDCS),10.1109/ICDCS47774.2020.00170,Reinforcement Learning,Remediation,True
kubeplaybook2024,KubePlaybook: A Repository of Ansible Playbooks for Kubernetes Auto-remediation with LLMs,"Namrud, Zakeya and Sarda, Komal and Litoiu, Marin and Shwartz, Larisa and Watts, Ian",2024,Companion of the 15th ACM/SPEC International Conference on Performance Engineering (ICPE '24),10.1145/3629527.3653665,NLP/LLM,Remediation,True
llm-anomaly-ce2025,Leveraging Large Language Models for Anomaly Detection in Microservices Architectures,"Pedroso, Diego Frazatto and Almeida, Lu\'\is and Aisawa, William Akihiro Alves and Dutra, In\^es and Bruschi, Sarita Mazzini",2025,2025 IEEE/SBC 37th International Symposium on Computer Architecture and High Performance Computing Workshops (SBAC-PADW),10.1109/SBAC-PADW69789.2025.00021,NLP/LLM;Graph Neural Networks,Analysis,True
llm-bayesian-rca2025,Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks,"Pedroso, Diego Frazatto and Almeida, Lu\'\is and Pulcinelli, Lucas Eduardo Gulka and Aisawa, William Akihiro Alves and Dutra, In\^es and Bruschi, Sarita Mazzini",2025,IEEE Access,10.1109/ACCESS.2025.3565220,NLP/LLM;Anomaly Detection;Causal Inference,Analysis,True
llm-drl-selfhealing2025,An Intelligent Fault Self-Healing Mechanism for Cloud AI Systems via Integration of Large Language Models and Deep Reinforcement Learning,"Yang, Ze and Jin, Yihong and Liu, Juntian and Xu, Xinhe",2025,"2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",10.1109/AEMCSE65292.2025.11042559,NLP/LLM,Remediation,False
mircam2025,MiRCAM: An Enhanced Approach to Instance-Level Root Cause Analysis in Microservice Systems,"Kong, Hao and Cheng, Guozhen and Zhang, Shuai",2025,"2025 4th International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)",10.1109/CBASE67452.2025.11335540,Graph Neural Networks,Analysis,True
morl-ce-optimization2025,Multi-Objective Reinforcement Learning Framework for Chaos Engineering Optimization: A Pareto-Based Approach to Risk-Aware Experiment Selection,"Zhang, Jinbo and Shen, Guiquan and Zhang, Ziyang and Chen, Yuxu",2025,2025 6th International Conference on Artificial Intelligence and Computer Engineering (ICAICE),10.1109/ICAICE68195.2025.11382319,Reinforcement Learning,Design,False
neural-fault-injection-nl2024,Neural Fault Injection: Generating Software Faults from Natural Language,"Cotroneo, D. and Liguori, Pietro",2024,2024 54th Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S),10.1109/DSN-S60304.2024.00016,NLP/LLM,Design,False
nlp-risk-resilience2024,"Natural Language Processing for Risk, Resilience, and Reliability","Meunier-Pion, Jean",2024,Proceedings of the 8th European Conference of the Prognostics and Health Management Society (PHME 2024),10.36001/phme.2024.v8i1.3956,NLP/LLM,Hypothesis,True
sarda-llm-remediation2023,Leveraging Large Language Models for Auto-remediation in Microservices Architecture,"Sarda, Komal",2023,2023 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C),10.1109/ACSOS-C58168.2023.00025,NLP/LLM,Hypothesis;Remediation,True
simurgh2025,Simurgh: Multi-Agent Adversarial Benchmarking for Proactive Microservice Observability,"Asadi, Navidreza and Ursu, R\uazvan-Mihai and Wong, Leon and Kellerer, Wolfgang",2025,Proceedings of the 1st Workshop on Next-Generation Network Observability,10.1145/3748496.3748991,NLP/LLM,Execution,True
sleuth2023,Sleuth: A Trace-Based Root Cause Analysis System for Large-Scale Microservices with Graph Neural Networks,"Gan, Yu and Liu, Guiyang and Zhang, Xin and Zhou, Qi and Wu, Jiesheng and Jiang, Jiangwei",2023,Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),10.1145/3623278.3624758,Graph Neural Networks,Analysis,True
telka2024,TELKA: Twin-Enhanced Learning for Kubernetes Applications,"Zaccarini, Mattia and Borsatti, Davide and Cerroni, Walter and Foschini, Luca and Grabarnik, Genady Ya. and Manca, Lorenzo and Poltronieri, Filippo and Scotece, Domenico and Shwartz, Larisa and Stefanelli, Cesare and Tortonesi, Mauro",2024,2024 IEEE Symposium on Computers and Communications (ISCC),10.1109/ISCC61673.2024.10733736,Reinforcement Learning,Design,True
